TBLASTN 2.2.29+


Reference: Stephen F. Altschul, Thomas L. Madden, Alejandro A.
Schaffer, Jinghui Zhang, Zheng Zhang, Webb Miller, and David J.
Lipman (1997), "Gapped BLAST and PSI-BLAST: a new generation of
protein database search programs", Nucleic Acids Res. 25:3389-3402.



Database: Cnidarians
           59,203 sequences; 3,418,506,885 total letters



Query= AAB47805.1 ankyrin [Homo sapiens]

Length=1856
                                                                      Score     E
  NW_004167841.1 Hydra vulgaris strain 105 unplaced genomic scaff...  97.8    2e-19
  NW_018148751.1 Orbicella faveolata isolate FL unplaced genomic ...  96.7    3e-19
  NW_004169928.1 Hydra vulgaris strain 105 unplaced genomic scaff...  87.0    4e-19
  NW_004167077.1 Hydra vulgaris strain 105 unplaced genomic scaff...  96.3    4e-19
  SczhEnG_142                                                         95.1    1e-18
  NW_018148670.1 Orbicella faveolata isolate FL unplaced genomic ...  94.7    1e-18
  NW_004174088.1 Hydra vulgaris strain 105 unplaced genomic scaff...  93.6    3e-18
  NW_004174400.1 Hydra vulgaris strain 105 unplaced genomic scaff...  93.2    4e-18
  scaffold_170                                                        92.8    6e-18
  dspp_scaffold_38                                                    92.8    6e-18
  afen_scaffold_0                                                     92.8    7e-18
  LJWW01001057.1 Exaiptasia pallida isolate CC7 scaffold1058, who...  92.4    7e-18
  SczhEnG_2745                                                        90.5    4e-17
  NW_004172979.1 Hydra vulgaris strain 105 unplaced genomic scaff...  90.1    4e-17
  scaffold_10031                                                      88.2    2e-16
  adi_Scaffold1377                                                    88.2    2e-16
  scaffold_112                                                        88.2    2e-16
  NW_004170478.1 Hydra vulgaris strain 105 unplaced genomic scaff...  86.7    6e-16
  NW_004169889.1 Hydra vulgaris strain 105 unplaced genomic scaff...  84.0    5e-15
  afen_scaffold_576                                                   82.8    1e-14
  LJWW01000168.1 Exaiptasia pallida isolate CC7 scaffold168, whol...  65.9    3e-14
  NW_018149674.1 Orbicella faveolata isolate FL unplaced genomic ...  81.6    3e-14
  dspp_scaffold_27                                                    79.7    1e-13
  scaffold_14518                                                      77.0    3e-13
  NW_004167848.1 Hydra vulgaris strain 105 unplaced genomic scaff...  77.8    5e-13
  afen_scaffold_313                                                   77.4    6e-13
  NW_004167278.1 Hydra vulgaris strain 105 unplaced genomic scaff...  76.3    1e-12
  adi_Scaffold37                                                      55.1    6e-12
  adi_Scaffold51                                                      72.0    3e-11
  adi_Scaffold894                                                     72.0    3e-11
  NW_004168972.1 Hydra vulgaris strain 105 unplaced genomic scaff...  70.5    9e-11
  afen_scaffold_1501                                                  70.1    1e-10
  SczhEnG_3547                                                        68.2    5e-10
  scaffold_297                                                        67.8    7e-10
  dspp_scaffold_580                                                   67.4    9e-10
  afen_scaffold_30                                                    66.6    1e-09
  NW_018149703.1 Orbicella faveolata isolate FL unplaced genomic ...  66.2    2e-09
  NW_004167631.1 Hydra vulgaris strain 105 unplaced genomic scaff...  66.2    2e-09
  dspp_scaffold_25                                                    65.5    4e-09
  NW_004168616.1 Hydra vulgaris strain 105 unplaced genomic scaff...  63.9    1e-08
  dspp_scaffold_450                                                   63.5    2e-08
  scaffold_120                                                        63.2    2e-08
  scaffold_275                                                        62.8    3e-08
  adi_Scaffold1203                                                    62.4    3e-08
  NW_004185892.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.0    3e-08
  NW_004175849.1 Hydra vulgaris strain 105 unplaced genomic scaff...  62.0    4e-08
  scaffold_370                                                        61.6    6e-08
  scaffold_90                                                         61.2    8e-08
  SczhEnG_3669                                                        60.5    1e-07
  scaffold_3923                                                       58.9    4e-07
  NW_004169472.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.5    5e-07
  NW_004171064.1 Hydra vulgaris strain 105 unplaced genomic scaff...  58.2    8e-07
  NW_004172641.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.8    9e-07
  NW_004176412.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.4    1e-06
  NW_004168519.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.4    1e-06
  NW_004167067.1 Hydra vulgaris strain 105 unplaced genomic scaff...  57.0    2e-06
  scaffold_4802                                                       56.2    2e-06
  NW_004173498.1 Hydra vulgaris strain 105 unplaced genomic scaff...  56.2    3e-06
  NW_004174488.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.8    4e-06
  scaffold_25                                                         55.8    4e-06
  NW_004172847.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.5    4e-06
  NW_004172088.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.5    5e-06
  adi_Scaffold869                                                     55.5    5e-06
  NW_004167712.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.1    6e-06
  NW_004171712.1 Hydra vulgaris strain 105 unplaced genomic scaff...  55.1    6e-06
  adi_Scaffold3671                                                    54.7    8e-06
  NW_004173708.1 Hydra vulgaris strain 105 unplaced genomic scaff...  54.3    1e-05
  NW_004174948.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.9    1e-05
  NW_004173636.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.5    2e-05
  NW_004168075.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.5    2e-05
  NW_004170343.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.1    2e-05
  NW_004170982.1 Hydra vulgaris strain 105 unplaced genomic scaff...  53.1    2e-05
  NW_004171843.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.4    4e-05
  NW_004169169.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.4    4e-05
  SczhEnG_3581                                                        52.0    5e-05
  NW_004168221.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.0    6e-05
  NW_004168146.1 Hydra vulgaris strain 105 unplaced genomic scaff...  52.0    7e-05
  NW_004181164.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    7e-05
  NW_004173369.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    7e-05
  NW_004175776.1 Hydra vulgaris strain 105 unplaced genomic scaff...  51.6    7e-05
  scaffold_3591                                                       51.2    9e-05
  NW_004169390.1 Hydra vulgaris strain 105 unplaced genomic scaff...  50.4    2e-04
  NW_004177235.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.7    3e-04
  NW_004168846.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.3    4e-04
  NW_004170572.1 Hydra vulgaris strain 105 unplaced genomic scaff...  49.3    5e-04
  NW_004177578.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.5    6e-04
  NW_004174898.1 Hydra vulgaris strain 105 unplaced genomic scaff...  48.5    8e-04
  NW_004184060.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.4    0.001
  NW_004169437.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.4    0.001
  NW_004177005.1 Hydra vulgaris strain 105 unplaced genomic scaff...  47.4    0.002
  NW_004175900.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.6    0.003
  NW_004173704.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.6    0.003
  NW_004174160.1 Hydra vulgaris strain 105 unplaced genomic scaff...  46.2    0.004
  NW_004172212.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.4    0.006
  NW_004168665.1 Hydra vulgaris strain 105 unplaced genomic scaff...  45.4    0.007
  NW_004171842.1 Hydra vulgaris strain 105 unplaced genomic scaff...  44.7    0.011
  NW_004179496.1 Hydra vulgaris strain 105 unplaced genomic scaff...  44.7    0.012
  NW_004169298.1 Hydra vulgaris strain 105 unplaced genomic scaff...  44.3    0.013
